title,runtime_minutes,genres,averagerating,domestic_gross,foreign_gross,year,global_sales
The Wedding Ringer,101.0,Comedy,6.7,64500000.0,15300000.0,2015,79800000.0
The Switch,101.0,"Comedy,Drama,Romance",6.1,27800000.0,22100000.0,2010,49900000.0
Letters to Juliet,105.0,"Adventure,Comedy,Drama",6.6,53000000.0,26100000.0,2010,79100000.0
How to Train Your Dragon,98.0,"Action,Adventure,Animation",8.1,217600000.0,277300000.0,2010,494900000.0
Shrek Forever After,93.0,"Adventure,Animation,Comedy",6.3,238700000.0,513900000.0,2010,752600000.0
From Prada to Nada,107.0,"Comedy,Drama,Romance",5.6,3000000.0,123000.0,2011,3123000.0
The Hobbit: An Unexpected Journey,169.0,"Adventure,Family,Fantasy",7.9,303000000.0,718100000.0,2012,1021100000.0
Love & Mercy,121.0,"Biography,Drama,Music",7.4,12600000.0,16100000.0,2015,28700000.0
The Legend of Tarzan,110.0,"Action,Adventure,Drama",6.3,126600000.0,230100000.0,2016,356700000.0
Rabbit Hole,91.0,Drama,7.0,2200000.0,2900000.0,2010,5100000.0
The Last Airbender,103.0,"Action,Adventure,Family",4.1,131800000.0,187900000.0,2010,319700000.0
Salt,100.0,"Action,Mystery,Thriller",6.4,118300000.0,175200000.0,2010,293500000.0
Source Code,93.0,"Action,Drama,Sci-Fi",7.5,54700000.0,92600000.0,2011,147300000.0
Black Swan,108.0,"Drama,Thriller",8.0,107000000.0,222400000.0,2010,329400000.0
Green Zone,115.0,"Action,Drama,Thriller",6.8,35100000.0,59800000.0,2010,94900000.0
The Amazing Spider-Man,136.0,"Action,Adventure,Sci-Fi",7.0,262000000.0,495900000.0,2012,757900000.0
The Killer Inside Me,109.0,"Crime,Drama,Horror",6.1,217000.0,3800000.0,2010,4017000.0
Robin Hood,140.0,"Action,Adventure,Drama",6.6,105300000.0,216400000.0,2010,321700000.0
Robin Hood,92.0,"Action,Drama",6.3,105300000.0,216400000.0,2010,321700000.0
Robin Hood,116.0,"Action,Adventure,Thriller",5.3,105300000.0,216400000.0,2010,321700000.0
The Sorcerer's Apprentice,109.0,"Action,Adventure,Family",6.1,63200000.0,152100000.0,2010,215300000.0
The Fighter,116.0,"Biography,Drama,Sport",7.8,93600000.0,35600000.0,2010,129200000.0
The Conspirator,122.0,"Crime,Drama,History",6.9,11500000.0,3900000.0,2011,15400000.0
Hugo,126.0,"Adventure,Drama,Family",7.5,73900000.0,111900000.0,2011,185800000.0
Hugo,80.0,Documentary,7.9,73900000.0,111900000.0,2011,185800000.0
Little Fockers,98.0,"Comedy,Romance",5.5,148400000.0,162200000.0,2010,310600000.0
Justice League,120.0,"Action,Adventure,Fantasy",6.5,229000000.0,428900000.0,2017,657900000.0
